id,tipo_gestion,nivel_educ_madre,iecep,one_alto_cs_nat,one_bajo_cs_nat,one_medio_cs_nat,one_alto_cs_soc,one_bajo_cs_soc,one_medio_cs_soc,one_alto_lengua,one_bajo_lengua,one_medio_lengua,one_alto_mat,one_bajo_mat,one_medio_mat,tasa_repeticion_2012,tasa_sobreedad_2012,tasa_sobreedad_avanzada_2012,promocionados_2011,salidos_sin_pase_2011,ive_2011,domiciliados_pba,extranjeros_2013,inversion_alumnos_2013
1,Privada,5.79,6.65855,0.29,0.097,0.613,0.519,0.037,0.444,0.52,0.04,0.44,0.346,0.038,0.615,16.5094,17.4528,2.35849,83.1818,1.2931,0.13148,0,5.17241,24340.9
2,Privada,6.25,6.43845,0,0.214,0.786,0.227,0.227,0.545,0.267,0.133,0.6,0.19,0.095,0.714,0,60.1449,9.42029,61.7188,0,0.0766076,0,2.29008,26374
3,Privada,5.53,7.19646,0.3,0.025,0.675,0.561,0.073,0.366,0.537,0.049,0.415,0.39,0.049,0.561,2.06186,6.95876,2.06186,92.2078,2.78481,0.0677125,0,4.63918,15561.5
4,Estatal,6.06,6.95247,0.265,0.229,0.506,0.463,0.053,0.484,0.54,0.103,0.356,0.235,0.094,0.671,3.27869,13.9344,1.31148,87.2659,1.65441,0.0746716,3.5,5.87156,20568.4
5,Estatal,4.65,3.95331,0.054,0.518,0.429,0.182,0.109,0.709,0.222,0.159,0.619,0.047,0.406,0.547,21.4963,70.8114,44.3625,72.1358,20.1405,0.553109,17.4,10.7561,25034.3
6,Privada,6.14,5.70104,0.226,0.323,0.452,0.2,0.233,0.567,0.367,0.133,0.5,0.148,0.259,0.593,1.3986,9.44056,0,88.7719,0.696864,0.0549583,0,0.340136,19010.2
7,Estatal,3.35,4.68077,0.075,0.478,0.448,0.15,0.3,0.55,0.088,0.221,0.691,0.077,0.323,0.6,11.4522,48.17,16.0567,73.613,3.98458,0.296082,7.7,25.1678,21849.4
8,Privada,4.66,2.91614,0.074,0.333,0.593,0.138,0.345,0.517,0.117,0.333,0.55,0.051,0.458,0.492,15.0943,56.6038,23.0189,87.8419,4.41989,0.339046,5.3,11.6541,15932.1
9,Privada,5.31,5.86268,0.14,0.246,0.614,0.2,0.127,0.673,0.345,0.127,0.527,0.179,0.125,0.696,8.7963,25.463,1.62037,82.4147,2.14797,0.138896,0,0.707547,19052.1
10,Privada,5.55,6.19063,0.08,0.12,0.8,0.333,0.111,0.556,0.44,0.04,0.52,0.423,0.077,0.5,10.8787,30.5439,6.27615,84.186,0.454545,0.158717,0,2.75591,19746.7
11,Estatal,3.46,3.49832,0,0.381,0.619,0,0.5,0.5,0.091,0.409,0.5,0.043,0.391,0.565,5.93923,68.232,32.1823,65.5436,10.9439,0.405119,1.3,35.1695,24265.8
12,Privada,4.64,6.27191,0.067,0.133,0.8,0.067,0.2,0.733,0.286,0,0.714,0.067,0.2,0.733,0,12.5,0,90.9091,0,0.0538912,0,3.97351,17378.8
13,Estatal,4.16,5.84891,0.047,0.247,0.706,0.148,0.16,0.691,0.171,0.197,0.632,0.139,0.228,0.633,7.1048,27.8863,6.03908,80.1587,3.27553,0.115254,3.2,19.3182,32887.6
14,Privada,6.3,6.861,0.407,0.123,0.469,0.369,0.071,0.56,0.549,0.037,0.415,0.518,0.024,0.458,3.99274,14.1561,1.81488,83.3935,2.06186,0.14227,2.5,3.02491,25632.4
15,Estatal,3.76,2.37509,0.05,0.55,0.4,0.045,0.455,0.5,0.059,0.647,0.294,0,0.529,0.471,13.1059,52.6032,19.5691,70.0803,8.50277,0.308168,5.2,24.0506,26810
16,Privada,6.45,7.17661,0.595,0.119,0.286,0.455,0.068,0.477,0.581,0.023,0.395,0.451,0.078,0.471,0.323625,4.85437,0,94.2568,0,0.0211111,0,2.63158,83278.1
17,Estatal,5.62,6.78224,0.28,0.08,0.64,0.558,0.019,0.423,0.54,0.06,0.4,0.292,0.104,0.604,8.59189,26.969,2.6253,78.5377,0,0.106386,27.2,0.740741,21815.9
18,Privada,4.96,5.63659,0.104,0.271,0.625,0.256,0.186,0.558,0.314,0.137,0.549,0.022,0.222,0.756,5.6338,22.2535,6.19718,75.7747,1.11732,0.120437,0,3.58127,14650.9
19,Estatal,5.25,2.76435,0.167,0.208,0.625,0.261,0.174,0.565,0.208,0.333,0.458,0.083,0.375,0.542,26.6436,86.8512,64.3599,52.8889,25.5452,0.732449,39.1,8.41751,33270
20,Privada,5.66,6.36067,0.44,0.14,0.42,0.275,0.059,0.667,0.388,0.102,0.51,0.148,0.148,0.704,3.38542,9.89583,1.04167,88.8021,1.28866,0.0767968,0,1.52672,16776.2
